ID,Country or Subregion,Date of Last Report ,Last Case Reported,Measure Names,In / Out of Subregions,Measure Values,Min. Total Countries
1,Canada,2019-12-28,---,Total Cases (b),Out,0,1
1,United States of America,2019-12-28,2019-02-16,Total Cases (b),Out,0,1
1,North America (minus Mexico),---,---,Total Cases (b),In,0,1
2,Belize,2019-12-28,2019-12-28,Total Cases (b),Out,3189,1
2,Costa Rica,2019-12-28,2019-11-30,Total Cases (b),Out,145,1
2,El Salvador,2019-12-28,2019-12-28,Total Cases (b),Out,683,1
2,Guatemala,2019-12-28,2019-12-21,Total Cases (b),Out,342,1
2,Honduras,2019-12-07,2019-12-07,Total Cases (b),Out,219,1
2,Mexico,2019-12-28,2019-11-02,Total Cases (b),Out,9,1
2,Nicaragua,2019-12-28,2019-12-21,Total Cases (b),Out,181,1
2,Panama,2019-10-05,2019-08-24,Total Cases (b),Out,20,1
2,Central America and Mexico,---,---,Total Cases (b),In,4788,1
3,Bolivia,2019-12-28,2019-12-28,Total Cases (b),Out,929,1
3,Colombia,2019-12-28,2019-12-28,Total Cases (b),Out,535,1
3,Ecuador,2019-12-28,2019-12-28,Total Cases (b),Out,2,1
3,Peru,2019-12-28,2019-11-23,Total Cases (b),Out,136,1
3,Venezuela,2019-11-30,2019-11-30,Total Cases (b),Out,180,1
3,Andean Subregion,---,---,Total Cases (b),In,1782,1
4,Argentina,2019-12-28,---,Total Cases (b),Out,0,1
4,Brazil,2019-12-28,2019-12-28,Total Cases (b),Out,178147,1
4,Chile,2019-12-28,---,Total Cases (b),Out,0,1
4,Paraguay,2019-12-28,2019-11-16,Total Cases (b),Out,52,1
4,Uruguay,2019-12-28,---,Total Cases (b),Out,0,1
4,Southern Cone,---,---,Total Cases (b),In,178199,1
5,Cuba,2019-12-28,---,Total Cases (b),Out,0,1
5,Dominican Republic,2015-01-03,2015-01-03,Total Cases (b),Out,,1
5,Puerto Rico,2019-12-28,2017-04-08,Total Cases (b),Out,0,1
5,Latin Caribbean,---,---,Total Cases (b),In,0,1
6,Anguilla,2019-12-28,---,Total Cases (b),Out,0,1
6,Antigua and Barbuda,---,---,Total Cases (b),Out,,1
6,Aruba,---,---,Total Cases (b),Out,,1
6,Bahamas,---,---,Total Cases (b),Out,,1
6,Barbados,2019-12-28,2019-09-28,Total Cases (b),Out,8,1
6,Bermuda,2019-03-16,---,Total Cases (b),Out,0,1
6,"Bonaire, Saint Eustatius and Saba",---,---,Total Cases (b),Out,,1
6,Cayman Islands,2020-02-29,---,Total Cases (b),Out,,1
6,Curaçao,---,---,Total Cases (b),Out,,1
6,Dominica,---,---,Total Cases (b),Out,,1
6,French Guiana,2018-06-30,2018-06-30,Total Cases (b),Out,,1
6,Grenada,---,---,Total Cases (b),Out,,1
6,Guadeloupe,2022-12-10,---,Total Cases (b),Out,,1
6,Guyana,---,---,Total Cases (b),Out,,1
6,Haiti,2019-12-07,2019-11-23,Total Cases (b),Out,8,1
6,Jamaica,2019-12-28,2019-11-02,Total Cases (b),Out,7,1
6,Martinique,2022-12-10,---,Total Cases (b),Out,,1
6,Montserrat,---,---,Total Cases (b),Out,,1
6,Saint Barthelemy,2022-12-10,---,Total Cases (b),Out,,1
6,Saint Kitts and Nevis,2018-12-29,2018-06-02,Total Cases (b),Out,,1
6,Saint Lucia,2019-12-28,2021-04-17,Total Cases (b),Out,0,1
6,Saint Martin,2022-12-10,---,Total Cases (b),Out,,1
6,Saint Vincent and the Grenadines,---,---,Total Cases (b),Out,,1
6,Suriname,2019-12-28,2019-10-05,Total Cases (b),Out,2,1
6,Trinidad and Tobago,---,---,Total Cases (b),Out,,1
6,Turks and Caicos Islands,---,---,Total Cases (b),Out,,1
6,Virgin Islands (UK),---,---,Total Cases (b),Out,,1
6,Virgin Islands (US),2019-12-28,---,Total Cases (b),Out,0,1
6,Non-Latin Caribbean,---,---,Total Cases (b),In,25,1
7,The Americas,---,---,Total Cases (b),In,184794,1
